-	bs	ht	ka	mi	hmn	mg	sd	ne	be	eu	tl	es	my	gl	mn	te	af	fy	ja	no	st	az	it	pa	el	zh-CN	ig	lo	si	cs	fr	bn	tg	hy	sk	bg	is	ny	ca	nl	so	de	ms	sr	haw	jw	hu	eo	ml	lb	iw	ga	ps	tr	am	sq	mk	ko	sw	ur	la	uk	uz	lt	th	pl	ro	hi	ta	mt	ha	xh	ar	yi	mr	ku	kn	pt	yo	sv	fa	da	zu	vi	sm	sn	gd	co	cy	fi	ru	gu	zh-TW	id	km	ceb	et	sl	lv	su	ky	hr	kk	
te	13	14	28	20	16	19	31	33	18	14	18	8	16	13	19	0	14	12	9	10	17	21	11	23	19	17	25	19	30	12	9	21	25	20	19	14	27	16	10	9	33	7	19	23	14	10	18	15	26	9	16	15	33	23	26	18	16	12	25	26	14	11	30	28	15	7	14	21	38	12	24	34	14	10	31	12	36	13	15	13	22	13	26	10	20	20	20	8	12	20	15	24	17	28	18	23	23	15	18	17	17	14	18	
af	20	22	26	24	15	22	18	22	31	15	20	15	16	20	22	14	0	25	18	21	25	22	16	19	24	20	19	17	19	25	22	18	22	24	18	17	23	20	18	26	22	24	22	18	17	15	15	18	14	28	16	21	18	23	20	24	21	14	26	19	16	24	19	23	13	16	18	17	22	22	22	23	13	16	13	10	19	15	15	15	15	19	20	21	21	12	19	14	20	19	17	14	20	25	24	18	17	21	18	20	7	24	23	
fy	21	25	20	18	20	21	17	20	31	13	13	19	13	19	33	12	25	0	10	25	27	20	15	14	28	15	22	17	15	22	19	19	30	19	15	24	16	27	24	30	23	27	19	15	10	18	11	23	12	35	18	11	22	19	29	29	18	15	27	11	12	27	21	22	9	11	23	14	15	20	20	24	11	14	15	20	18	18	20	18	15	20	20	16	18	23	20	19	19	22	13	11	15	28	21	20	11	27	13	29	11	22	22	
ja	12	18	22	16	17	20	20	20	16	15	15	17	10	16	27	9	18	10	0	14	18	12	18	19	13	30	18	17	24	18	15	16	23	14	14	18	14	15	16	13	21	19	19	14	12	16	18	13	14	17	18	16	22	19	22	13	17	31	19	16	9	17	25	22	20	10	17	24	18	15	13	32	15	7	12	7	19	19	14	13	18	18	23	26	22	19	22	13	15	16	13	11	30	24	18	11	21	13	22	14	14	12	25	
no	14	14	11	13	9	17	13	16	24	6	11	13	14	17	19	10	21	25	14	0	20	16	9	19	20	10	9	12	9	17	16	16	19	15	13	15	19	12	18	11	18	25	17	10	12	11	16	14	7	17	14	7	13	14	24	18	14	11	20	17	11	21	19	14	16	20	11	14	14	15	7	13	9	13	16	6	14	20	11	31	11	41	18	10	13	12	15	9	12	21	13	14	10	21	17	15	16	12	24	20	9	19	14	
st	24	30	24	53	39	51	30	40	28	18	28	20	21	25	45	17	25	27	18	20	0	28	15	31	26	14	64	28	26	21	16	32	41	27	20	21	25	98	21	19	42	26	29	26	47	25	16	30	28	34	21	22	37	26	52	21	24	18	72	28	19	29	37	34	21	9	23	23	37	22	52	74	24	29	27	21	29	17	40	14	20	16	97	23	59	77	44	17	17	20	18	27	14	25	31	29	28	26	32	31	15	22	34	
az	27	21	28	20	27	26	26	43	32	26	11	21	19	23	40	21	22	20	12	16	28	0	18	30	22	16	22	22	16	20	26	31	44	42	21	27	24	32	22	16	32	24	24	28	24	12	22	32	28	27	20	16	36	46	27	21	34	16	33	30	6	30	78	45	22	18	23	26	28	22	20	28	17	23	32	19	39	21	23	19	34	21	29	22	26	23	22	19	22	29	31	32	16	30	24	19	33	25	32	22	17	28	54	
it	22	24	16	15	15	20	16	20	24	25	11	40	9	37	23	11	16	15	18	9	15	18	0	12	25	17	14	18	10	22	34	14	24	14	15	21	14	17	46	21	17	20	24	18	11	7	18	27	13	22	18	13	20	25	20	25	23	19	16	20	9	25	19	22	18	27	28	14	18	25	13	22	26	14	11	8	22	38	14	16	18	15	21	19	15	12	20	37	11	22	17	12	17	19	18	14	17	23	23	16	11	22	19	
pa	16	35	34	39	31	45	49	72	22	20	31	12	22	20	33	23	19	14	19	19	31	30	12	0	17	26	28	50	36	16	17	57	33	37	22	18	29	30	17	16	36	22	45	24	26	28	15	19	32	23	12	28	57	25	39	13	28	20	32	55	15	14	44	39	28	10	16	53	31	22	30	33	22	17	73	19	49	13	27	26	27	22	35	26	31	27	26	25	21	19	19	54	26	34	62	22	29	21	39	25	13	23	34	
el	24	22	19	24	15	26	17	19	31	18	16	30	16	30	23	19	24	28	13	20	26	22	25	17	0	21	18	21	16	25	24	18	30	24	19	25	24	17	27	27	22	19	19	20	14	15	26	28	13	23	27	11	26	31	30	30	19	21	23	25	11	28	29	26	23	21	34	26	19	27	19	22	22	18	20	8	20	27	23	21	29	24	20	21	24	17	19	15	15	31	22	11	21	23	21	25	19	18	18	21	6	22	26	
zh-CN	16	25	18	21	19	23	22	29	17	17	21	18	18	17	26	17	20	15	30	10	14	16	17	26	21	0	16	21	15	29	17	31	29	13	18	15	21	15	12	17	23	27	22	17	14	23	15	18	11	15	21	15	30	22	23	17	17	16	14	26	8	19	26	22	19	15	16	18	20	16	18	18	18	11	25	14	21	14	15	13	22	20	15	29	18	13	25	13	17	22	17	24	269	26	37	15	19	19	15	26	13	17	27	
ig	22	28	21	63	45	48	35	36	27	20	32	14	13	24	43	25	19	22	18	9	64	22	14	28	18	16	0	32	27	20	11	36	29	22	19	17	27	58	19	14	44	19	29	16	40	28	16	24	31	26	16	17	38	24	38	17	21	17	45	26	14	19	43	35	29	9	17	29	29	19	52	47	21	20	23	17	24	15	56	17	31	11	45	23	61	36	34	17	19	20	18	30	16	27	29	35	22	30	28	30	13	17	30	
lo	26	55	18	37	42	64	29	42	19	24	37	17	24	23	64	19	17	17	17	12	28	22	18	50	21	21	32	0	29	21	18	51	43	28	21	17	30	40	20	9	44	21	71	22	24	45	16	18	21	39	17	22	42	22	38	21	27	14	45	37	11	19	35	27	49	8	17	24	29	30	25	34	20	19	40	26	33	18	20	25	29	14	34	32	53	27	36	27	26	17	12	30	21	52	112	41	16	33	29	30	10	21	41	
si	15	22	26	25	22	30	30	33	22	18	28	13	13	16	38	30	19	15	24	9	26	16	10	36	16	15	27	29	0	17	13	27	29	19	22	15	20	26	18	15	29	19	28	22	17	20	19	14	27	12	16	18	43	22	29	18	16	15	27	41	19	17	30	31	22	13	24	29	31	22	24	40	26	13	21	15	31	12	23	19	26	15	33	27	34	32	24	16	19	19	19	22	15	28	36	30	42	17	29	15	16	20	27	
cs	29	26	25	24	19	20	16	21	32	14	16	20	12	26	30	12	25	22	18	17	21	20	22	16	25	29	20	21	17	0	27	17	24	20	34	27	26	22	22	17	23	26	21	20	15	24	22	26	13	26	18	18	26	27	27	24	23	20	25	20	11	30	19	21	17	23	21	22	20	25	19	19	23	22	13	8	17	24	17	21	20	20	26	21	22	11	24	19	13	35	28	10	29	28	20	19	16	26	23	21	12	27	22	
fr	20	34	14	10	14	20	14	20	21	20	12	27	12	33	19	9	22	19	15	16	16	26	34	17	24	17	11	18	13	27	0	13	24	19	19	16	19	10	31	20	20	25	16	19	11	12	23	30	8	25	12	14	20	25	24	29	24	15	15	22	14	24	20	24	14	25	35	16	21	27	12	13	22	11	15	6	17	35	8	22	14	22	8	19	14	11	15	26	11	26	20	15	17	22	24	20	15	19	23	15	12	25	23	
bn	23	36	35	34	32	44	37	65	29	19	34	13	23	17	42	21	18	19	16	16	32	31	14	57	18	31	36	51	27	17	13	0	33	33	21	24	32	38	19	14	42	18	42	24	25	28	17	11	27	22	17	20	40	23	29	30	27	20	36	41	12	24	40	41	30	15	22	41	33	16	31	37	24	19	65	25	41	13	31	22	30	16	38	25	36	25	28	19	30	22	20	47	31	30	56	25	33	28	33	27	11	24	34	
tg	29	39	34	35	45	45	31	48	35	28	22	28	22	28	59	25	22	30	23	19	41	44	24	33	30	29	29	43	29	24	24	33	0	40	20	37	26	35	26	18	61	21	41	22	31	30	33	30	30	41	24	20	55	36	40	34	39	27	51	37	12	38	58	48	29	19	28	28	23	30	33	50	25	17	34	27	30	25	28	26	33	25	42	30	37	31	39	27	29	29	37	32	29	38	38	32	29	34	35	25	15	27	51	
hy	26	25	54	21	30	28	27	40	42	21	18	23	21	21	41	20	24	19	14	15	27	42	14	37	24	13	22	28	19	20	19	33	40	0	26	36	24	23	22	18	43	20	34	33	22	13	20	23	37	29	19	18	45	16	33	25	39	11	29	35	14	32	49	57	20	17	22	28	23	24	23	27	22	17	27	26	35	18	19	20	28	20	28	19	23	20	15	21	23	21	29	28	13	28	28	20	49	30	43	14	19	27	47	
sk	16	14	33	16	14	17	25	22	27	12	10	12	19	13	19	19	18	15	14	13	20	21	15	22	19	18	19	21	22	34	19	21	20	26	0	14	23	20	14	12	28	15	22	57	21	14	12	12	26	16	20	12	28	17	23	23	24	13	19	24	16	18	24	54	14	15	17	23	15	18	18	20	18	14	22	18	29	12	12	13	23	13	17	12	19	24	16	18	9	22	26	14	18	17	23	20	44	21	49	22	36	21	19	
bg	34	25	30	22	23	22	18	24	34	16	21	27	12	23	37	14	17	24	18	15	21	27	21	18	25	15	17	17	15	27	16	24	37	36	14	0	23	28	22	19	30	29	26	26	15	11	22	29	13	25	21	19	27	27	31	29	47	15	29	17	13	40	33	36	20	24	23	16	21	22	21	25	22	26	20	9	22	26	16	19	23	27	21	16	21	15	20	19	14	27	37	13	15	23	22	23	18	30	32	16	13	33	34	
is	16	27	25	23	21	32	26	31	30	20	21	14	21	19	28	27	23	16	14	19	25	24	14	29	24	21	27	30	20	26	19	32	26	24	23	23	0	22	16	16	31	26	32	20	17	22	21	18	17	25	25	29	26	22	26	26	22	17	28	25	12	21	30	21	16	23	13	25	39	32	31	21	19	16	22	12	27	11	21	23	23	22	23	19	32	12	31	16	25	24	16	21	21	29	34	30	22	28	19	25	13	20	32	
ny	17	37	29	56	49	48	33	36	29	22	30	16	21	21	44	16	20	27	15	12	98	32	17	30	17	15	58	40	26	22	10	38	35	23	20	28	22	0	24	17	44	21	31	17	45	31	14	27	35	38	23	20	40	28	40	21	21	15	89	22	18	30	45	35	16	11	23	34	32	20	51	85	15	25	34	33	32	11	40	16	19	12	89	18	60	100	44	21	29	18	18	24	15	25	37	29	31	18	28	27	24	16	35	
ca	26	34	19	17	16	28	18	23	24	32	16	60	17	82	28	10	18	24	16	18	21	22	46	17	27	12	19	20	18	22	31	19	26	22	14	22	16	24	0	24	34	25	23	20	15	16	23	41	12	33	26	11	20	24	28	27	31	18	27	15	14	21	29	28	18	22	27	18	21	29	17	26	16	17	18	14	21	39	15	20	14	22	22	19	23	15	24	41	18	19	19	14	12	21	25	21	21	29	26	19	8	28	23	
nl	14	17	19	15	11	16	21	15	22	13	14	20	7	23	16	9	26	30	13	11	19	16	21	16	27	17	14	9	15	17	20	14	18	18	12	19	16	17	24	0	17	28	16	18	12	15	18	18	12	28	21	10	17	22	18	20	18	13	19	15	9	19	17	18	14	17	25	18	16	20	11	20	11	13	13	10	13	17	15	16	14	22	16	22	18	10	14	15	12	21	18	11	17	18	17	17	15	13	23	16	8	26	22	
so	27	32	31	51	63	56	43	44	28	29	38	26	25	30	50	33	22	23	21	18	42	32	17	36	22	23	44	44	29	23	20	42	61	43	28	30	31	44	34	17	0	21	53	32	33	26	27	27	40	30	29	28	46	32	44	28	35	20	62	35	14	30	50	42	26	19	33	38	36	27	55	57	23	15	41	27	41	20	31	19	28	24	57	29	51	49	40	29	29	28	24	31	23	34	49	32	37	34	32	29	22	28	37	
de	25	30	23	18	15	20	16	29	25	15	14	27	10	25	26	7	24	27	19	25	26	24	20	22	19	27	19	21	19	26	25	18	21	20	15	29	26	21	25	28	21	0	23	20	13	22	20	26	14	36	24	17	18	20	27	22	21	14	25	23	14	22	26	24	16	23	26	18	19	20	15	19	21	18	21	13	11	23	11	18	21	33	24	23	23	17	21	20	18	26	21	13	27	28	26	15	17	31	23	20	9	29	28	
ms	26	49	24	37	35	59	29	48	26	28	42	15	21	23	69	19	22	19	19	17	29	24	24	45	19	22	29	71	28	21	16	42	41	34	22	26	32	31	23	16	53	23	0	25	26	75	18	17	18	31	25	26	45	29	29	25	30	19	42	34	13	25	36	25	24	15	16	22	23	22	28	38	23	22	38	21	33	20	28	24	30	23	32	32	44	26	35	29	23	24	20	29	22	65	72	26	25	34	31	32	15	23	41	
sr	76	22	36	23	21	18	25	25	24	16	13	23	16	27	24	23	18	15	14	10	26	28	18	24	20	17	16	22	22	20	19	24	22	33	57	26	20	17	20	18	32	20	25	0	22	13	14	21	24	24	22	19	38	21	29	19	42	8	21	31	11	23	31	58	18	20	22	22	18	19	16	18	27	13	25	25	25	19	9	15	20	19	27	18	16	19	17	15	14	18	24	21	17	23	34	14	59	47	51	14	42	46	31	
haw	22	17	24	78	38	31	27	25	22	14	26	12	12	18	25	14	17	10	12	12	47	24	11	26	14	14	40	24	17	15	11	25	31	22	21	15	17	45	15	12	33	13	26	22	0	19	10	18	21	22	11	18	32	20	39	14	18	14	34	24	14	17	30	30	17	8	15	28	21	17	36	38	14	18	19	21	22	13	33	13	19	13	37	23	51	37	38	17	13	15	17	24	14	19	29	23	25	19	29	19	12	24	22	
jw	22	40	15	33	31	49	19	29	17	20	23	14	14	15	51	10	15	18	16	11	25	12	7	28	15	23	28	45	20	24	12	28	30	13	14	11	22	31	16	15	26	22	75	13	19	0	18	12	12	31	14	15	32	18	15	13	16	15	31	19	14	19	27	20	16	8	12	12	18	16	28	29	16	16	29	12	20	11	20	19	21	17	21	27	38	23	24	17	22	14	10	20	23	54	48	21	22	27	24	27	9	15	23	
hu	23	25	21	18	14	22	17	24	22	15	11	17	8	23	23	18	15	11	18	16	16	22	18	15	26	15	16	16	19	22	23	17	33	20	12	22	21	14	23	18	27	20	18	14	10	18	0	16	12	18	20	12	23	26	18	21	23	15	19	17	9	25	28	19	16	16	32	11	16	17	11	19	19	15	15	8	18	21	10	22	17	19	15	19	20	10	15	14	11	23	13	8	15	22	17	27	18	21	19	19	8	25	25	
eo	27	26	24	19	18	22	17	25	24	28	18	37	14	47	32	15	18	23	13	14	30	32	27	19	28	18	24	18	14	26	30	11	30	23	12	29	18	27	41	18	27	26	17	21	18	12	16	0	10	29	21	17	24	18	28	22	26	13	21	16	11	26	27	30	18	15	24	21	18	22	21	25	15	26	12	11	16	37	13	20	18	18	22	18	18	20	26	28	19	21	26	12	18	21	22	22	13	23	27	17	12	24	28	
ml	13	15	43	21	32	28	47	38	15	13	16	12	14	12	31	26	14	12	14	7	28	28	13	32	13	11	31	21	27	13	8	27	30	37	26	13	17	35	12	12	40	14	18	24	21	12	12	10	0	17	11	13	39	22	27	9	21	15	28	46	12	19	34	53	22	9	22	33	26	15	24	28	22	11	29	24	45	12	18	13	24	14	36	11	23	22	20	11	13	18	13	27	11	23	21	13	49	15	41	13	21	15	30	
lb	27	46	25	31	21	34	22	26	21	27	22	30	16	40	43	9	28	35	17	17	34	27	22	23	23	15	26	39	12	26	25	22	41	29	16	25	25	38	33	28	30	36	31	24	22	31	18	29	17	0	22	19	27	21	32	24	36	15	38	27	14	31	32	31	22	19	31	19	17	25	27	32	14	19	18	18	28	25	16	21	17	24	36	24	30	27	30	24	23	24	22	18	15	34	41	28	30	40	32	23	16	24	41	
iw	17	20	14	17	19	20	15	16	20	15	14	23	11	24	28	16	16	18	18	14	21	20	18	12	27	21	16	17	16	18	12	17	24	19	20	21	25	23	26	21	29	24	25	22	11	14	20	21	11	22	0	20	25	20	19	21	19	9	23	20	7	21	27	25	13	14	24	16	19	13	22	27	13	17	16	17	22	11	12	16	23	18	22	17	21	15	23	16	17	19	14	11	21	22	18	18	29	23	22	18	23	25	26	
ga	19	18	21	28	23	17	14	22	12	13	15	12	14	17	26	15	21	11	16	7	22	16	13	28	11	15	17	22	18	18	14	20	20	18	12	19	29	20	11	10	28	17	26	19	18	15	12	17	13	19	20	0	26	16	27	18	19	10	22	19	9	20	19	23	9	13	13	16	24	14	20	25	17	9	20	7	16	12	10	11	14	11	18	16	23	11	51	14	27	13	11	18	15	16	27	16	17	18	20	12	10	15	17	
ps	26	32	41	42	47	44	88	80	33	24	30	28	23	28	48	33	18	22	22	13	37	36	20	57	26	30	38	42	43	26	20	40	55	45	28	27	26	40	20	17	46	18	45	38	32	32	23	24	39	27	25	26	0	39	38	22	39	19	37	75	13	27	47	47	20	13	22	38	26	24	35	56	20	22	44	40	53	18	31	23	41	22	47	36	38	42	35	22	11	31	22	36	30	36	52	25	42	34	34	26	23	30	43	
tr	23	25	24	23	32	27	27	34	25	25	18	28	15	26	26	23	23	19	19	14	26	46	25	25	31	22	24	22	22	27	25	23	36	16	17	27	22	28	24	22	32	20	29	21	20	18	26	18	22	21	20	16	39	0	31	25	22	22	24	32	8	19	41	26	28	20	30	32	20	25	22	28	22	16	21	12	23	26	18	21	31	27	24	26	30	21	19	20	16	28	16	22	22	36	25	18	21	26	17	27	10	26	33	
am	29	27	26	41	37	38	31	41	27	15	29	30	22	25	54	26	20	29	22	24	52	27	20	39	30	23	38	38	29	27	24	29	40	33	23	31	26	40	28	18	44	27	29	29	39	15	18	28	27	32	19	27	38	31	0	29	32	21	48	32	15	29	38	31	24	23	24	37	39	30	24	47	27	25	31	20	35	23	35	21	28	28	42	26	40	35	30	22	24	25	21	33	23	25	52	35	24	30	32	27	17	24	35	
sq	23	29	25	21	17	24	17	25	35	19	16	28	18	31	36	18	24	29	13	18	21	21	25	13	30	17	17	21	18	24	29	30	34	25	23	29	26	21	27	20	28	22	25	19	14	13	21	22	9	24	21	18	22	25	29	0	27	17	24	21	15	28	35	24	16	25	31	23	30	40	20	25	18	14	17	8	20	22	15	19	22	16	15	16	26	11	21	23	18	21	24	12	17	26	27	32	22	24	22	31	16	26	30	
mk	51	34	32	22	21	32	19	24	29	16	19	29	15	27	38	16	21	18	17	14	24	34	23	28	19	17	21	27	16	23	24	27	39	39	24	47	22	21	31	18	35	21	30	42	18	16	23	26	21	36	19	19	39	22	32	27	0	14	29	33	12	32	30	37	22	23	19	21	18	21	20	27	22	18	22	9	26	19	17	24	22	21	27	15	18	20	21	19	20	22	31	19	17	30	28	20	30	48	40	20	13	37	46	
ko	16	16	15	18	19	17	13	22	22	15	13	12	9	18	26	12	14	15	31	11	18	16	19	20	21	16	17	14	15	20	15	20	27	11	13	15	17	15	18	13	20	14	19	8	14	15	15	13	15	15	9	10	19	22	21	17	14	0	20	11	10	14	25	15	21	13	14	17	16	17	20	25	18	7	15	6	19	12	18	14	20	17	25	15	19	13	22	18	14	20	8	13	16	24	16	14	6	11	13	20	7	12	25	
sw	21	36	31	58	44	51	28	48	36	22	34	17	22	22	50	25	26	27	19	20	72	33	16	32	23	14	45	45	27	25	15	36	51	29	19	29	28	89	27	19	62	25	42	21	34	31	19	21	28	38	23	22	37	24	48	24	29	20	0	39	19	29	45	29	25	12	22	34	34	26	41	60	18	21	34	23	39	15	34	19	23	26	73	32	55	61	41	23	27	23	26	35	14	32	62	39	31	24	33	30	20	17	29	
ur	21	29	41	30	30	34	83	61	26	19	22	20	25	24	37	26	19	11	16	17	28	30	20	55	25	26	26	37	41	20	22	41	37	35	24	17	25	22	15	15	35	23	34	31	24	19	17	16	46	27	20	19	75	32	32	21	33	11	39	0	12	27	40	40	25	11	28	41	31	16	22	35	23	14	44	36	44	21	16	17	40	21	35	23	27	27	21	20	25	18	19	39	26	35	37	27	49	27	43	19	22	20	39	
la	8	15	19	16	17	17	9	15	16	13	15	12	5	13	17	14	16	12	9	11	19	6	9	15	11	8	14	11	19	11	14	12	12	14	16	13	12	18	14	9	14	14	13	11	14	14	9	11	12	14	7	9	13	8	15	15	12	10	19	12	0	10	8	12	15	11	15	16	22	14	16	19	12	12	10	13	12	6	9	9	12	12	10	12	24	13	14	9	8	12	11	10	8	16	16	15	17	11	15	16	8	16	13	
uk	32	26	36	25	19	26	18	26	52	18	16	23	13	25	39	11	24	27	17	21	29	30	25	14	28	19	19	19	17	30	24	24	38	32	18	40	21	30	21	19	30	22	25	23	17	19	25	26	19	31	21	20	27	19	29	28	32	14	29	27	10	0	32	34	18	27	29	22	19	20	25	27	16	24	19	11	24	22	17	25	20	28	24	20	20	17	20	16	21	25	45	15	19	27	27	20	26	30	31	24	12	31	40	
uz	25	27	39	31	27	38	35	45	44	28	23	30	30	28	58	30	19	21	25	19	37	78	19	44	29	26	43	35	30	19	20	40	58	49	24	33	30	45	29	17	50	26	36	31	30	27	28	27	34	32	27	19	47	41	38	35	30	25	45	40	8	32	0	60	31	24	25	24	32	22	26	44	27	19	38	17	32	23	32	23	38	19	41	28	34	28	25	23	32	30	31	31	26	36	43	35	46	37	52	27	32	27	82	
